date,Value
2007/11/7,13533
2007/11/8,13533
2007/11/9,13533
2007/11/12,13543
2007/11/13,13543
2007/11/14,13541
2007/11/15,13541
2007/11/16,13541
2007/11/19,13535
2007/11/20,13538
2007/11/21,13539
2007/11/22,13541
2007/11/23,13541
2007/11/26,13542
2007/11/27,13541
2007/11/28,13533
2007/11/29,13525
2007/11/30,13525
2007/12/3,13525
2007/12/4,13519
2007/12/5,13515
2007/12/6,13515
2007/12/7,13512
2007/12/10,13511
2007/12/11,13509
2007/12/12,13509
2007/12/13,13511
2007/12/14,13519
2007/12/17,13520
2007/12/18,13525
2007/12/19,13533
2007/12/20,13532
2007/12/21,13538
2007/12/24,13543
2007/12/25,13546
2007/12/26,13552
2007/12/27,13565
2007/12/28,13567
2007/12/29,13572
2008/1/2,13581
2008/1/3,13586
2008/1/4,13588
2008/1/7,13589
2008/1/8,13602
2008/1/9,13608
2008/1/10,13609
2008/1/11,13611
2008/1/14,13609
2008/1/15,13608
2008/1/16,13616
2008/1/17,13616
2008/1/18,13617
2008/1/21,13634
2008/1/22,13633
2008/1/23,13639
2008/1/24,13641
2008/1/25,13649
2008/1/28,13657
2008/1/29,13663
2008/1/30,13666
2008/1/31,13669
2008/2/1,13671
2008/2/2,13673
2008/2/3,13673
2008/2/4,13675
2008/2/5,13676
2008/2/13,13679
2008/2/14,13680
2008/2/15,13683
2008/2/18,13695
2008/2/19,13708
2008/2/20,13716
2008/2/21,13716
2008/2/22,13719
2008/2/25,13751
2008/2/26,13763
2008/2/27,13789
2008/2/28,13791
2008/2/29,13796
2008/3/3,13801
2008/3/4,13810
2008/3/5,13819
2008/3/6,13821
2008/3/7,13835
2008/3/10,13840
2008/3/11,13845
2008/3/12,13850
2008/3/13,13851
2008/3/14,13849
2008/3/17,13847
2008/3/18,13847
2008/3/19,13847
2008/3/20,13839
2008/3/21,13838
2008/3/24,13831
2008/3/25,13830
2008/3/26,13830
2008/3/27,13827
2008/3/28,13826
2008/3/31,13823
2008/4/1,13812
2008/4/2,13811
2008/4/3,13811
2008/4/7,13802
2008/4/8,13800
2008/4/9,13803
2008/4/10,13803
2008/4/11,13805
2008/4/14,13798
2008/4/15,13795
2008/4/16,13799
2008/4/17,13805
2008/4/18,13807
2008/4/21,13808
2008/4/22,13810
2008/4/23,13813
2008/4/24,13810
2008/4/25,13802
2008/4/28,13803
2008/4/29,13800
2008/4/30,13795
2008/5/4,13792
2008/5/5,13789
2008/5/6,13790
2008/5/7,13792
2008/5/8,13792
2008/5/9,13795
2008/5/12,13798
2008/5/13,13797
2008/5/14,13797
2008/5/15,13791
2008/5/16,13787
2008/5/19,13790
2008/5/20,13790
2008/5/21,13789
2008/5/22,13816
2008/5/23,13818
2008/5/26,13830
2008/5/27,13835
2008/5/28,13839
2008/5/29,13847
2008/5/30,13846
2008/6/2,13846
2008/6/3,13846
2008/6/4,13846
2008/6/5,13848
2008/6/6,13848
2008/6/10,13853
2008/6/11,13853
2008/6/12,13853
2008/6/13,13856
2008/6/16,13862
2008/6/17,13867
2008/6/18,13867
2008/6/19,13867
2008/6/20,13867
2008/6/23,13868
2008/6/24,13868
2008/6/25,13871
2008/6/26,13863
2008/6/27,13863
2008/6/30,13863
2008/7/1,13862
2008/7/2,13859
2008/7/3,13855
2008/7/4,13846
2008/7/7,13843
2008/7/8,13843
2008/7/9,13836
2008/7/10,13823
2008/7/11,13790
2008/7/14,13788
2008/7/15,13770
2008/7/16,13750
2008/7/17,13743
2008/7/18,13742
2008/7/21,13731
2008/7/22,13731
2008/7/23,13727
2008/7/24,13702
2008/7/25,13702
2008/7/28,13699
2008/7/29,13695
2008/7/30,13676
2008/7/31,13675
2008/8/1,13673
2008/8/4,13673
2008/8/5,13670
2008/8/6,13661
2008/8/7,13655
2008/8/8,13651
2008/8/11,13650
2008/8/12,13636
2008/8/13,13605
2008/8/14,13600
2008/8/15,13588
